variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
beta,0.13718835843333332,0.1342805,0.027479558557926564,0.026687541300000003,0.09756526500000001,0.18931894999999999,1.011408872738202,297.49686084525456,448.44602248951503
omega,0.28864599533333335,0.2842785,0.055702331657594695,0.05556265890000001,0.20332305000000003,0.3862388,1.0112530232851245,292.2223972003668,452.4662257390139
proportion_twitter,0.11190712993333334,0.111809,0.003973765125665496,0.0038147298000000083,0.10560734999999999,0.11853715,1.001067120997971,570.8752714826093,709.1768369468044
dI,8.470983213333334,8.340375,1.6112854851406115,1.6246701449999994,5.9862375,11.310875000000001,1.0114032639856179,298.3973530223368,470.20163988758213
dT,1.9893439126666668,1.988915,0.4559945217478185,0.445632495,1.261044,2.7520379999999998,1.0009667826272077,591.5160596506313,556.6716315168788
